checksumStart,logTime,missionTime,roll,pitch,heading,airSpeed,elevator,aileron,alfa,betha,standAngle,pressure,pressureAlt,ax,ay,az,gx,gy,gz,lc1,lc2,lc3,lc4,temprature,voltage,GPSSats,GPSLat,GPSLong,GPSAlt,GPSSpeed,checksumEnd
201,14237,33596,0,28,330,1.14,9,0,-77,-5,28,88296,1145,4.96,0.01,9.02,-0.03,0.06,0.09,1592,1097,289,-37,26,95,0, 35.702477, 51.350746,0.00,0.39,254

201,14429,33788,0,28,330,1.22,9,0,-77,-5,28,88293,1146,4.87,-0.01,9.09,-0.09,0.06,-0.03,1592,1098,288,-37,26,87,0, 35.702477, 51.350746,0.00,0.39,254

201,14716,33980,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.88,-0.00,8.92,-0.03,0.06,0.03,1592,1097,289,-37,26,93,0, 35.702477, 51.350746,0.00,0.39,254

201,14908,34267,0,28,330,1.14,9,0,-77,-5,28,88295,1146,4.90,-0.01,9.01,-0.09,-0.06,0.09,1592,1097,288,-37,26,91,0, 35.702477, 51.350746,0.00,0.39,254

201,15099,34457,0,28,330,1.29,9,0,-77,-5,28,88293,1146,4.83,0.02,8.99,0.21,0.00,0.03,1592,1097,289,-37,26,90,0, 35.702477, 51.350746,0.00,0.39,254

201,15291,34649,0,28,330,1.22,9,0,-77,-5,28,88295,1146,4.96,0.02,8.98,-0.34,-0.06,-0.15,1591,1097,288,-37,26,90,0, 35.702477, 51.350746,0.00,0.39,254

201,15482,34842,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.89,-0.03,9.08,-0.09,0.00,-0.09,1592,1097,289,-37,26,90,0, 35.702477, 51.350746,0.00,0.39,254

201,15673,35033,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.93,0.02,8.92,0.03,0.00,-0.21,1593,1097,288,-37,26,93,0, 35.702477, 51.350746,0.00,0.39,254

201,15865,35223,0,28,330,1.22,9,0,-77,-5,28,88295,1146,4.92,-0.00,8.98,0.09,-0.18,-0.21,1593,1097,288,-37,26,96,0, 35.702477, 51.350746,0.00,0.39,254

201,16151,35415,0,28,330,1.22,9,0,-77,-5,28,88295,1146,4.93,0.05,9.01,-0.03,-0.06,-0.03,1592,1097,289,-37,26,90,0, 35.702477, 51.350746,0.00,0.39,254

201,16438,35703,0,28,330,1.22,9,0,-77,-5,28,88293,1146,4.91,0.05,9.02,-0.09,0.00,0.03,1592,1098,289,-37,26,91,0, 35.702477, 51.350746,0.00,0.39,254

201,16726,35989,0,28,330,1.22,9,0,-77,-5,28,88296,1146,4.94,-0.02,9.04,-0.03,-0.12,-0.03,1592,1097,289,-37,26,90,0, 35.702454, 51.350754,0.00,0.10,254

201,17013,36277,0,28,330,1.22,9,0,-77,-5,28,88293,1146,4.91,0.02,8.91,-0.15,-0.18,-0.03,1592,1097,289,-37,26,95,0, 35.702454, 51.350754,0.00,0.10,254

201,17300,36562,0,28,330,1.22,9,0,-77,-5,28,88293,1146,4.90,0.00,8.98,-0.03,0.06,-0.03,1592,1097,289,-37,26,89,0, 35.702454, 51.350754,0.00,0.10,254

201,17491,36851,0,28,330,1.14,9,0,-77,-5,28,88293,1146,4.96,-0.01,8.98,-0.09,0.00,0.09,1592,1098,289,-37,26,93,0, 35.702454, 51.350754,0.00,0.10,254

201,17682,37042,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.95,0.00,8.98,-0.03,-0.18,0.15,1592,1097,289,-37,26,92,0, 35.702454, 51.350754,0.00,0.10,254

201,17875,37233,0,28,330,1.22,9,0,-77,-5,28,88296,1146,4.91,0.06,8.99,-0.21,-0.12,-0.03,1593,1097,289,-37,26,90,0, 35.702454, 51.350754,0.00,0.10,254

201,18066,37425,0,28,330,1.22,9,0,-77,-5,28,88295,1146,4.92,0.02,8.98,0.03,-0.12,-0.03,1593,1097,289,-37,26,92,0, 35.702454, 51.350754,0.00,0.10,254

201,18257,37615,0,28,330,1.22,9,0,-77,-5,28,88292,1146,4.94,0.00,8.92,-0.03,0.06,-0.09,1592,1097,288,-37,26,92,0, 35.702454, 51.350754,0.00,0.10,254

201,18449,37809,0,28,330,1.14,9,0,-77,-5,28,88290,1146,4.92,-0.01,8.99,-0.03,-0.12,-0.03,1592,1097,289,-37,26,89,0, 35.702454, 51.350754,0.00,0.10,254

201,18736,37999,0,28,330,1.22,9,0,-77,-5,28,88292,1146,4.89,0.01,8.90,-0.15,-0.12,-0.03,1592,1098,289,-37,26,90,0, 35.702454, 51.350754,0.00,0.10,254

201,19022,38286,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.94,0.06,9.08,0.09,0.00,0.03,1592,1098,288,-37,26,90,0, 35.702454, 51.350754,0.00,0.10,254

201,19310,38572,0,28,330,1.22,9,0,-77,-5,28,88296,1146,4.94,0.04,8.88,-0.03,0.00,-0.15,1593,1098,289,-37,26,90,0, 35.702454, 51.350754,0.00,0.10,254

201,19502,38861,0,28,330,1.14,9,0,-77,-5,28,88294,1146,4.89,-0.00,8.98,-0.09,-0.12,0.03,1592,1098,289,-37,26,91,0, 35.702454, 51.350754,0.00,0.10,254

201,19693,39052,0,28,330,1.22,9,0,-77,-5,28,88295,1146,4.93,0.02,9.02,-0.03,0.00,-0.09,1593,1098,289,-37,26,90,0, 35.702454, 51.350754,0.00,0.10,254

201,19980,39243,0,28,330,1.14,9,0,-76,-5,28,88294,1146,4.90,0.09,8.96,-0.03,0.06,0.09,1591,1098,289,-37,26,90,0, 35.702454, 51.350754,0.00,0.10,254

201,20267,39530,0,28,330,1.14,9,0,-77,-5,28,88292,1146,4.97,0.01,9.06,-0.09,-0.06,0.03,1592,1097,289,-37,26,90,0, 35.702454, 51.350754,0.00,0.10,254

201,20554,39818,0,28,330,1.22,9,0,-77,-5,28,88293,1146,4.92,0.03,8.99,-0.09,0.06,-0.09,1592,1098,289,-37,26,91,0, 35.702454, 51.350754,0.00,0.10,254

201,20842,40104,0,28,330,1.22,9,0,-77,-5,28,88290,1146,4.87,-0.01,9.00,-0.21,-0.06,-0.15,1593,1097,289,-37,26,90,0, 35.702454, 51.350754,0.00,0.10,254

201,21128,40392,0,28,330,1.22,9,0,-77,-5,28,88291,1146,4.92,0.04,8.98,-0.03,0.00,0.03,1592,1098,289,-37,26,89,0, 35.702454, 51.350754,0.00,0.10,254

201,21415,40678,0,28,330,1.29,9,0,-77,-5,28,88292,1146,4.94,0.01,8.94,-0.03,0.00,-0.03,1591,1097,289,-37,26,91,0, 35.702454, 51.350754,0.00,0.10,254

201,21702,40967,0,28,330,1.22,9,0,-77,-5,28,88295,1146,4.90,0.00,9.08,-0.15,0.00,-0.15,1593,1098,289,-37,26,90,0, 35.702465, 51.350742,0.00,1.91,254

201,21894,41253,0,28,330,1.22,9,0,-77,-5,28,88292,1146,4.93,0.02,9.07,-0.34,-0.12,0.03,1593,1098,289,-37,26,88,0, 35.702465, 51.350742,0.00,1.91,254

201,22085,41444,0,28,330,1.14,9,0,-76,-5,28,88295,1146,4.87,0.04,8.98,0.03,-0.30,0.03,1593,1098,289,-37,26,88,0, 35.702465, 51.350742,0.00,1.91,254

201,22277,41634,0,28,330,1.14,9,0,-77,-5,28,88293,1146,4.94,0.04,8.92,-0.03,-0.06,-0.03,1592,1098,289,-37,26,90,0, 35.702465, 51.350742,0.00,1.91,254

201,22565,41828,0,28,330,1.29,9,0,-76,-5,28,88292,1146,4.91,0.03,8.95,-0.03,0.12,-0.03,1591,1098,289,-37,26,92,0, 35.702465, 51.350742,0.00,1.91,254

201,22851,42115,0,28,330,1.22,9,0,-77,-5,28,88295,1146,4.86,0.02,9.06,-0.09,0.12,-0.03,1592,1098,289,-37,26,90,0, 35.702465, 51.350742,0.00,1.91,254

201,23139,42401,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.87,-0.01,8.98,-0.03,-0.12,-0.03,1592,1098,289,-37,26,90,0, 35.702465, 51.350742,0.00,1.91,254

201,23426,42689,0,29,330,1.22,9,0,-77,-5,29,88293,1146,4.95,0.02,8.92,0.09,-0.24,0.09,1593,1098,289,-37,26,93,0, 35.702465, 51.350742,0.00,1.91,254

201,23713,42976,0,28,330,1.22,9,0,-77,-5,28,88292,1146,4.88,-0.01,9.12,-0.15,-0.30,-0.21,1592,1098,289,-37,26,93,0, 35.702461, 51.350739,0.00,0.04,254

201,24096,43264,0,28,330,1.14,9,0,-77,-5,28,88291,1146,4.91,0.08,8.94,-0.15,-0.06,-0.03,1592,1098,289,-37,26,89,0, 35.702461, 51.350739,0.00,0.04,254

201,24383,43645,0,28,330,1.22,9,0,-77,-5,28,88295,1146,4.94,0.02,8.98,-0.03,0.00,0.09,1593,1097,289,-37,26,91,0, 35.702461, 51.350739,0.00,0.04,254

201,24670,43933,0,28,330,1.22,9,0,-77,-5,28,88290,1146,4.94,0.09,8.98,-0.09,-0.12,-0.15,1593,1098,289,-37,26,90,0, 35.702461, 51.350739,0.00,0.04,254

201,24957,44220,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.90,-0.04,8.98,-0.15,-0.06,0.09,1592,1097,289,-37,26,92,0, 35.702461, 51.350739,0.00,0.04,254

201,25340,44507,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.88,0.05,9.02,-0.09,0.00,-0.03,1592,1098,289,-37,26,90,0, 35.702461, 51.350739,0.00,0.04,254

201,25627,44891,0,28,330,1.22,9,0,-77,-5,28,88292,1146,4.89,0.06,9.00,-0.09,0.12,-0.15,1592,1097,289,-37,26,91,0, 35.702461, 51.350739,0.00,0.04,254

201,25914,45177,0,28,330,1.29,9,0,-77,-5,28,88292,1146,4.93,0.03,8.99,-0.09,0.00,0.09,1592,1098,289,-37,26,90,0, 35.702461, 51.350739,0.00,0.04,254

